"","location","gamma","z0","L","deposition"
"108",2,0.233019025509739,1.01118049059958,-1,0.0517771818094425
"109",2,0.384576763318376,0.587139819101906,-384.180778821954,0.00898623960332862
"110",2,0.1,0.699349578935492,-244.032679059203,0.016040020917591
"111",2,0.106718929301146,1.18280597437697,-149.297732364176,0.0223136025272287
"112",2,0.306816579856125,0.177046425583539,-92.4102290378568,0.0103378727836516
"113",2,0.332798166538925,0.796063992014992,-164.723212026379,0.0151354758686552
"114",2,0.240981038129478,1.02622415779164,-354.310555767377,0.0135402445381515
"115",2,0.235859696239623,0.550497207518334,-299.291191520983,0.0114730689250846
"116",2,0.342928338174003,1.13487317852654,-309.664009943172,0.0132747797395293
"117",2,0.185303900072177,0.499497718853684,-143.323734500728,0.0154036249949939
"118",2,0.359198622936016,0.60812388501326,-1,0.0472188213012858
"119",2,0.4,1.23063751092689,-113.953542077658,0.0196238935391948
"120",2,0.373053554688591,1.93983070810324,-241.132743225661,0.0167672753857353
"121",2,0.100646010997321,1.53773360096494,-55.5979909957803,0.0350292754508567
"122",2,0.312809198272988,0.281426436664956,-252.625216402545,0.00842645852847002
"123",2,0.271631308771644,0.427297678370855,-164.882611190601,0.0123176667967161
"124",2,0.305149903623666,1.8242976711239,-409.112611476048,0.0145695941805069
"125",2,0.195027125050529,0.185736247237848,-65.5590272262878,0.0142773155005696
"126",2,0.121759764651545,0.535134210871933,-35.9423385854947,0.0314467931883851
"127",2,0.330528108243764,1.75843763529547,-305.186125225016,0.0155521912651114
"128",2,0.191372918610068,1.55580580610063,-450.253954139212,0.0151987452769601
"129",3,0.1,0.001,-1,0.0107477720227117
"130",3,0.4,1.98218082797576,-489.548990792602,0.0108761004759468
"131",3,0.106026886910552,1.97626003688834,-500,0.013614153093583
"132",3,0.106109310489888,0.0172277821404883,-495.837492031733,0.00967578965455537
"133",3,0.4,0.00507484599093432,-500,0.00494098977104453
"134",3,0.396890107003529,2,-1,0.0331432007359227
